ensembl_gene_id,regulator_class,ec_codes,go_terms,chen_nonprotein,in_structural_catalog,supplementary_support,go_experimental_protein,catalytic_status
ENSG00000149554,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0035173|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000183765,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000110721,kinase,2.7.1.32,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000213341,kinase,2.7.11.10,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000179583,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,FALSE,TRUE,TRUE,active
ENSG00000112144,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000122966,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000013441,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000179335,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000113240,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000163050,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000123815,kinase,,GO:0004672|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000085719,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000150938,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000182578,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000103653,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000113712,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000180138,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000141551,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000213923,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000169118,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000133275,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000151292,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000101266,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000070770,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000254598,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000204435,kinase,2.7.11.1,,FALSE,FALSE,FALSE,FALSE,active
ENSG00000196730,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000035664,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000167657,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000145041,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0035173|GO:0106310,FALSE,FALSE,TRUE,TRUE,active
ENSG00000133083,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000170390,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000163673,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000204580,kinase,2.7.10.1,,FALSE,TRUE,TRUE,FALSE,active
ENSG00000162733,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000145214,kinase,,GO:0001727|GO:0004143|GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000187773,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,FALSE,FALSE,FALSE,active
ENSG00000104936,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000133059,kinase,,GO:0004672|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000157540,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0035173|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000105204,kinase,2.7.12.1,,FALSE,TRUE,TRUE,FALSE,active
ENSG00000127334,kinase,,GO:0004672|GO:0004674|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000143479,kinase,2.7.12.1,GO:0004672|GO:0004674|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000010219,kinase,,GO:0004672|GO:0004712|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,FALSE,active
ENSG00000103319,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000115380,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000143590,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000243364,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000108947,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,FALSE,TRUE,TRUE,active
ENSG00000146648,kinase,,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000086232,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000055332,kinase,"""2.7.11.1|2.7.10.2""",GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000172071,kinase,2.7.11.1,GO:0004672|GO:0004674|GO:0004713|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000128829,kinase,,GO:0004672|GO:0004674|GO:0016301|GO:0016773|GO:0106310,FALSE,TRUE,TRUE,TRUE,active
ENSG00000146904,kinase,2.7.10.1,,FALSE,TRUE,TRUE,FALSE,active
ENSG00000183317,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,pseudo
ENSG00000142627,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000044524,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000116106,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000145242,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000080224,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000135333,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000070886,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000154928,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000133216,kinase,2.7.10.1,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000182580,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000196411,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000141736,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
ENSG00000065361,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,pseudo
ENSG00000178568,kinase,,GO:0004672|GO:0004713|GO:0016301|GO:0016773,FALSE,TRUE,TRUE,TRUE,active
